Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
FSLR,"First Solar Inc",177.67,-6.6,-3.58%,183.59,185.17,178.31,1007612,"13:06 ET"
FTI,"Technipfmc Plc",28.38,-0.47,-1.63%,29.8,30.03,28.41,1632234,"13:07 ET"
FTNT,"Fortinet Inc",94.61,1.25,+1.34%,95.94,96.865,94.23,1815941,"13:07 ET"
FTRE,"Fortrea Holdings Inc",17.95,-0.42,-2.29%,18.34,18.63,17.82,410030,"13:06 ET"
FTV,"Fortive Corp",73.17,-0.49,-0.67%,73.86,74.435,72.73,963866,"13:07 ET"
FWONA,"Liberty Media Formula One Sr A",85.25,1.6,+1.91%,84.79,85.28,83.95,63345,"12:58 ET"
FWONK,"Liberty Media Formula One Sr C",94.36,1.78,+1.92%,93.41,94.69,93,402939,"13:05 ET"
FYBR,"Frontier Communications Parent Inc",34.79,0.13,+0.38%,34.7,34.81,34.7,1308659,"13:07 ET"
G,"Genpact Ltd",42.22,0.15,+0.36%,42.41,42.92,42.19,541903,"13:07 ET"
GAP,"Gap Inc",23.82,0.044999999999998,+0.19%,23.53,24.15,23.25,1986564,"13:07 ET"
GD,"General Dynamics Corp",261.08,-1.19,-0.45%,259.95,262.83,257.88,691081,"13:07 ET"
GDDY,"Godaddy Inc",203.01,2.88,+1.44%,202.24,205.05,200.85,366468,"13:05 ET"
GE,"GE Aerospace",164.18,4.23,+2.64%,163.03,165.14,162.18,2197686,"13:07 ET"
GEHC,"GE Healthcare Technologies Inc",77.51,0.42,+0.54%,77.31,78.18,76.95,1199119,"13:07 ET"
GEN,"Gen Digital Inc",27.55,-0.18,-0.65%,27.9,28.06,27.533,962037,"13:07 ET"
GEV,"GE Vernova Inc",332,14.88,+4.69%,324.95,334,322.51,1843567,"13:07 ET"
GFS,"Globalfoundries Inc",41.69,-0.7,-1.65%,42.18,42.49,41.24,548074,"13:06 ET"
GGG,"Graco Inc",84.47,1.05,+1.26%,84.63,85.3,83.95,250223,"13:07 ET"
GILD,"Gilead Sciences Inc",90.7,0.010000000000005,+0.01%,90.4,91.48,90.27,2495432,"13:06 ET"
GIS,"General Mills",64.76,0.85000000000001,+1.33%,63.5,64.96,63.36,2163285,"13:07 ET"
GL,"Globe Life Inc",105.56,1.13,+1.08%,104.85,106.24,104.06,241770,"13:05 ET"
GLOB,"Globant S.A.",222.38,6.29,+2.91%,221.43,229.81,220.57,321128,"13:07 ET"
GLPI,"Gaming & Leisure",46.99,-0.11,-0.23%,47.11,47.68,46.8,471296,"13:07 ET"
GLW,"Corning Inc",47.01,0.5,+1.08%,46.85,47.51,46.69,2192487,"13:07 ET"
GM,"General Motors Company",50.36,0.37,+0.74%,50.62,51.335,50.4,4475205,"13:07 ET"
GME,"Gamestop Corp",29.06,0.51,+1.79%,29.155,30.6,28.91,6612967,"13:07 ET"
GMED,"Globus Medical Inc",82.05,0.27,+0.33%,82.56,83.46,81.68,324312,"13:02 ET"
GNRC,"Generac Holdings Inc",156.15,-1.64,-1.04%,159.35,160.79,156.32,245284,"13:05 ET"
GNTX,"Gentex Corp",29.1,-0.21,-0.72%,29.57,29.73,28.955,452652,"13:07 ET"
GO,"Grocery Outlet Holding Corp",16.7,0.16,+0.97%,16.62,16.8983,16.27,524419,"13:06 ET"
GOOG,"Alphabet Cl C",191.65,1.5,+0.79%,193.28,194.6,190.85,11169843,"13:07 ET"
GOOGL,"Alphabet Cl A",190.49,2.09,+1.11%,191.625,193.03,189.32,14134094,"13:07 ET"
GPC,"Genuine Parts Company",115.5,-0.09,-0.08%,115.64,117.2,114.85,457919,"13:05 ET"
GPK,"Graphic Packaging Holding Company",27.18,-0.38,-1.38%,27.57,27.92,27.21,713017,"13:07 ET"
GPN,"Global Payments Inc",110.34,-0.63,-0.57%,112.17,113.05,109.93,592281,"13:07 ET"
GRAL,"Grail Inc",16.32,-1.77,-9.78%,18.72,19,16.1,1582772,"13:05 ET"
GRMN,"Garmin Ltd",205.41,-0.82,-0.40%,207,208.69,204.46,218315,"13:05 ET"
GS,"Goldman Sachs Group",557.48,7.23,+1.31%,561.44,567,555.445,1379034,"13:07 ET"
GTES,"Gates Industrial Corp Plc",20.3,-0.53,-2.54%,21.06,21.19,20.315,878062,"13:06 ET"
GTLB,"Gitlab Inc Cl A",55.41,-1.83,-3.20%,58,58.87,55.26,1389315,"13:07 ET"
GWRE,"Guidewire Software Inc",172.91,-1.61,-0.92%,174.43,177.5,172.215,452506,"13:07 ET"
GWW,"W.W. Grainger",1085.41,-5.92,-0.54%,1098.7,1103.87,1081.37,126696,"13:06 ET"
GXO,"Gxo Logistics Inc",43.22,-1.89,-4.19%,45.84,46,43.145,1068804,"13:07 ET"
H,"Hyatt Hotels Corp",153.43,2.12,+1.40%,153.24,155.68,152.7795,171330,"13:05 ET"
HAL,"Halliburton Company",25.68,-0.47,-1.80%,26.56,26.62,25.73,5295682,"13:07 ET"
HAS,"Hasbro Inc",57,-1.11,-1.91%,58.22,58.65,57.1,538186,"13:07 ET"
HAYW,"Hayward Holdings Inc",15.43,-0.07,-0.45%,15.5,15.64,15.39,1971788,"13:04 ET"
HBAN,"Huntington Bancshares Inc",15.92,0.0099999999999998,+0.06%,16.18,16.355,15.98,8627625,"13:07 ET"
HCA,"Hca Holdings Inc",298.71,-0.44,-0.15%,298.5,304.6,296.66,847953,"13:06 ET"
HCP,"Hashicorp Inc Cl A",34.17,0.090000000000003,+0.26%,34.09,34.21,34.0662,1451558,"13:06 ET"
HD,"Home Depot",389,-4.82,-1.22%,394.74,395.14,387.45,1774058,"13:07 ET"
HEI,"Heico Corp",235.06,-2.18,-0.92%,238.82,241.1353,233.5,391925,"13:07 ET"
HEI.A,"Heico Corp Cl A",183.26,-1.54,-0.83%,185.73,187.75,182.28,121525,"13:04 ET"
HES,"Hess Corp",128.19,-1.52,-1.17%,131.01,131.23,128.01,729711,"13:06 ET"
HHH,"Howard Hughes Holdings Inc",76.27,0.060000000000002,+0.08%,76.4,77.615,75.3,145968,"13:02 ET"
HIG,"Hartford Financial Services Group",107.22,0.16,+0.15%,107.6,108.769,106.85,478825,"13:07 ET"
HII,"Huntington Ingalls Industries",188.34,-6.1,-3.14%,194.43,195.49,187.39,262112,"13:04 ET"
